Место:		Площадка
Скважина:	Скважина
Направление:	ГОРИЗОНТАЛЬНАЯ
Один проход:	ДА
Измерение:	2
Создано:	19-07-2023 05:58:04
Завершено:	НЕТ

Номер	Глубина		Ошибка		X1		Y1		X2		Y2		LX		LY		LR		AR
0	0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
1	0.5		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
2	1.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
3	1.5		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
4	2.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
5	2.5		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
6	3.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
7	3.5		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
8	4.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
9	4.5		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
10	5.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
11	5.5		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
12	6.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
13	6.5		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
14	7.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
15	7.5		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
16	8.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
17	8.5		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
18	9.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
19	9.5		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
20	10.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
21	10.5		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
22	11.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
23	11.5		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
24	12.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
25	12.5		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
26	13.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
27	13.5		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
28	14.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
29	14.5		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
30	15.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
31	15.5		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
32	16.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
33	16.5		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
34	17.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0		0.0
